"Αργολίδας-Κρανίδι","2754029190","23.16258","37.36133","21300","Κρανίδι","2ο χλμ Ε.Ο. Κρανιδίου-Πορτοχελίου",""
"Αττική-Λαύριο","2292060889","24.05632","37.71634","","Λαύριο","Φωκίωνος Νέγρη","3"
"Αττικής-Αγία Βαρβάρα","2105446601","23.66269","37.99603","","Αγία Βαρβάρα","Ελ.Βενιζέλου","42"
"Αττικής-Αγία Βαρβάρα","2105695204","23.66100","37.98850","12351","Αγία Βαρβάρα","Λεωφόρος Μεγάλου Αλεξάνδρου","139"
"Αττικής-Άγιοι Ανάργυροι","2108541934","23.72256","38.02271","","Άγιοι Ανάργυροι","Μαυρομιχάλη","30"
"Αττικής-Άγιος Ιωάννης Ρέντης","2104819618","23.67410","37.95934","","Άγιος Ιωάννης Ρέντης","Περικλέους","4"
"Αττικής-Αθήνα","2105127568","23.71543","37.99925","","Αθήνα","Βοσπόρου","42"
"Αττικής-Αθήνα","2108620448","23.73237","38.00646","","Αθήνα","Λευκωσίας","46"
"Αττικής-Αιγάλεω","2105312227","23.67172","38.00361","","Αιγάλεω","Εδέσσης","34"
"Αττικής-Άνω Λιόσια","2102483300","23.69974","38.08474","","Άνω Λιόσια","Καραϊσκάκη+Ολυμπίου",""
"Αττικής-Αχαρνές","2102465338","23.73497","38.07854","","Αχαρνές","Λεωφόρος Αθηνών","24"
"Αττικής-Αχαρνές","2102443976","23.73799","38.08237","","Αχαρνές","Λέκκα","10"
"Αττικής-Βάρη","2108975210","23.79918","37.83397","16672","Βάρη","Λεωφόρος Αναγυρούντος","14"
"Αττικής-Γαλάτσι","2102934094","23.75753","38.02407","","Γαλάτσι","Αγίας Ειρήνης","12"
"Αττικής-Γλυφάδα","2109605556","23.76166","37.89113","","Γλυφάδα","Κ. Αθανάτου","5"
"Αττικής-Ελευσίνα","2105547773","23.54764","38.04056","19200","Ελευσίνα","Επισμηναγού Νέζη+Γράμμου",""
"Αττικής-Ελευσίνα","2105549315","23.52117","38.05446","19600","Ελευσίνα","23ο χλμ Π.Ε.Ο. Αθηνών-Θηβών+Κίμωνος",""
"Αττικής-Ζωγράφου","2107472452","23.76152","37.97946","","Ζωγράφου","Γ. Παπανδρέου","7"
"Αττικής-Ηλιούπολη","2109940433","23.75855","37.93287","","Ηλιούπολη","Σοφοκλή Βενιζέλου","111"
"Αττικής-Ίλιον","2102691551","23.70752","38.02869","","Ίλιον","Μενελάου+Θέτιδος",""
"Αττικής-Ίλιον","2105786630","23.70893","38.01652","","Ίλιον","Φωλοπούλου","20"
"Αττικής-Καματερό","2102385282","23.71384","38.06194","","Καματερό","Λεωφόρος Φυλής","205"
"Αττικής-Κερατέα","2299042011","23.97338","37.81031","","Κερατέα","Λεωφόρος Αθηνών-Σουνίου","17"
"Αττικής-Κερατσίνι","2104314226","23.62092","37.95887","","Κερατσίνι","Λεωφόρος Δημοκρατίας","84"
"Αττικής-Κορυδαλλός","2104965204","23.65584","37.98040","","Κορυδαλλός","Γρηγορίου Λαμπράκη","137"
"Αττικής-Κορωπί","2106021003","23.88177","37.89209","","Κορωπί","Λεωφόρος Κορωπίου - Αεροδρομίου",""
"Αττικής-Μάνδρα","2105551395","23.492689","38.081425","","Μάνδρα","Π.Ε.Ο. Αθηνών-Θηβών",""
"Αττικής-Μαραθώνας","2294067390","23.96135","38.15984","19007","Μαραθώνας","Προφήτη Ηλία","32"
"Αττικής-Μέγαρα","2296021481","23.34247","38.00391","","Μέγαρα","Λεωφόρος Αλεποχωρίου+Αγίας Βαρβάρας",""
"Αττικής-Μεταμόρφωση","2102813201","23.75705","38.06193","14452","Μεταμόρφωση","Δροσίνη","6"
"Αττικής-Νέα Μάκρη","2294069033","23.9752","38.0901","","Νέα Μάκρη","Λεωφόρος Μαραθώνος","160"
"Αττικής-Νέα Πεντέλη","2106138620","23.85839","38.05836","","Νέα Πεντέλη","Πλατεία Ηρώων Πολυτεχνείου","22"
"Αττικής-Νέα Πέραμος","2296034551","23.42801","38.00734","","Νέα Πέραμος","28ης Οκτωβρίου+Γεωργιάδη",""
"Αττικής-Νίκαια","2104926000","23.65037","37.96656","","Νίκαια","7ης Μαρτίου","53"
"Αττικής-Παιανία","2106026773","23.85799","37.95675","","Παιανία","Λεωφόρος Λαυρίου","97"
"Αττικής-Παλαιό Φάληρο","2109802174","23.69930","37.92810","17562","Παλαιό Φάληρο","Τερψιχόρης","64"
"Αττικής-Πειραιάς","2104210332","23.64410","37.95444","","Πειραιάς","Παλαμηδίου","13"
"Αττικής-Περιστέρι","2105715350","23.68733","38.01192","","Περιστέρι","Πελασγίας","18"
"Αττικής-Πετρούπολη","2105023194","23.68215","38.03461","","Πετρούπολη","Επτανήσου","66"
"Αττικής-Πεύκη","2106126251","23.79615","38.05992","","Πεύκη","Λεωφόρος Ειρήνης","12"
