"Αττικής-Αγία Βαρβάρα","2105625366","23.65230","37.98777","12351","Αγία Βαρβάρα","Κερκύρας","30"
"Αττικής-Άγιος Δημήτριος","2109750030","23.74018","37.94153","17343","Άγιος Δημήτριος","Λεωφόρος Βουλιαγμένης","268"
"Αττικής-Άγιος Δημήτριος","2109912150","23.72917","37.91833","17342","Άγιος Δημήτριος","Θεομήτορος","38"
"Αττικής-Άγιος Δημήτριος","2109767280","23.72976","37.93621","17343","Άγιος Δημήτριος","Λεωφόρος Αγίου Δημητρίου","161"
"Αττικής-Άγιος Δημήτριος","2109715482","23.73764","37.94911","17343","Άγιος Δημήτριος","Στριγγάρη","7"
"Αττικής-Άγιος Δημήτριος","2109888939","23.72343","37.92347","17342","Άγιος Δημήτριος","Λεωφόρος Αγίου Δημητρίου","298"
"Αττικής-Άγιος Δημήτριος","2109961458","23.73444","37.93000","17342","Άγιος Δημήτριος","Λιδορικίου","3"
"Αττικής-Άγιος Ιωάννης Ρέντης","2104900519 ","23.65740","37.96247","18233","Άγιος Ιωάννης Ρέντης","Θηβών ","119"
"Αττικής-Αθήνα","2108661177","23.74453","38.00284","11363","Αθήνα","Βελβενδού","25"
"Αττικής-Αθήνα","2109230382","23.72540","37.95898","11745","Αθήνα","Σαρκουδίνου","12"
"Αττικής-Αθήνα","2105150377 ","23.71654","38.00278","10443","Αθήνα","Δόρδου","16"
"Αττικής-Αθήνα","2109213043 ","23.72389","37.96417","11741","Αθήνα","Δημητρακοπούλου","72"
"Αττικής-Αθήνα","2107714403","23.75892","37.98033","11528","Αθήνα","Παπαδιαμαντοπούλου","57"
"Αττικής-Αθήνα","2109013201","23.72275","37.95407","11745","Αθήνα","Μπακνανά","24"
"Αττικής-Αθήνα","2108820518","23.74736","37.99646","11363","Αθήνα","Αγίου Στεφάνου","2"
"Αττικής-Αθήνα","2106928022","23.76889","37.99500","11526","Αθήνα","Σεβαστουπόλεως","135"
"Αττικής-Αθήνα","2102922078","23.74298","38.02440","11142","Αθήνα","Τραλλέων+Ολοφύτου",""
"Αττικής-Αθήνα","2103842805","23.74034","37.98658","11473","Αθήνα","Χαριλάου Τρικούπη","111"
"Αττικής-Αθήνα","2107018316","23.74412","37.96794","11635","Αθήνα","Πλατεία Πλαστήρα","5"
"Αττικής-Αθήνα","2105144660","23.71767","37.99500","10444","Αθήνα","Βορείου Ηπείρου","37"
"Αττικής-Αθήνα","2109232451","23.73052","37.96346","11743","Αθήνα","Ευδόξου","1"
"Αττικής-Αθήνα","2109013830","23.73797","37.95695","11631","Αθήνα","Γεωργίου Καφαντάρη","33"
"Αττικής-Αθήνα","2108211293","23.73824","37.99960","11361","Αθήνα","Αγίου Μελετίου","6"
"Αττικής-Αθήνα","2103414474","23.70806","37.96695","11853","Αθήνα","Θεσσαλονίκης","190"
"Αττικής-Αθήνα","2106921777","23.76117","37.99252","11524","Αθήνα","Πανόρμου","75"
"Αττικής-Αθήνα","2107525102 ","23.74452","37.96091","11632","Αθήνα","Δικαιάρχου+Ιλιάδος",""
"Αττικής-Αθήνα","2108833273","23.72532","37.99463","10440","Αθήνα","Μιχαήλ Βόδα","67"
"Αττικής-Αθήνα","2108641404","23.73242","38.00421","11252","Αθήνα","Λευκωσίας","17"
"Αττικής-Αθήνα","2106997266","23.76396","37.99225","11523","Αθήνα","Λαρίσης","20"
"Αττικής-Αθήνα","2107516991","23.75014","37.96418","11633","Αθήνα","Φρύνης","48"
