"Αθήνα","","23.719736","37.984836","10436","Αθήνα","Πέρδικα","1"
"Αττική-Αγία Βαρβάρα","","23.660433","37.993056","","Αγία Βαρβάρα Αττικής","Ελευθερίου Βενιζέλου και Αγίας Λαύρας",""
"Αττική-Αγία Παρασκευή"," ","23.83426","38.01313","","Αγία Παρασκευή Αττικής","Μεσογείων",""
"Αττική-Άγιοι Ανάργυροι","","23.72325","38.02756","","Άγιοι Ανάργυροι Αττικής","Αγίων Αναργύρων",""
"Αττική-Βριλήσσια ","","23.82667","38.03709","","Βριλήσσια Αττικής","Λεωφόρος Πεντέλης",""
"Αττική-Γαλάτσι"," ","23.75590","38.01880","","Γαλάτσι Αττικής","Τραλλέων",""
"Αττική-Ζεφύρι","Mini Market","23.70697","38.07394","","Ζεφύρι Αττικής","Φυλής",""
"Αττική-Ηλιούπολη"," ","23.75159","37.93042","","Ηλιούπολη Αττικής","Λεωφόρος Κοτζιά",""
"Αττική-Ιλιον"," ","23.69708","38.03188","","Ίλιον Αττικής","Κωλλέτη",""
"Αττική-Ίλιον"," ","23.71099","38.02380","","Ίλιον Αττικής","Αγίου Φανουρίου",""
"Αττική-Ίλιον"," ","23.71264","38.03121","","Ίλιον Αττικής","Κόμβος Ιλίου",""
"Αττική-Ίλιον"," ","23.70030","38.02991","","Ίλιον Αττικής","Θηβών",""
"Αττική-Κερατσίνι","","23.62506","37.97438","","Κερατσίνι Αττικής","Λεωφόρος Γρηγορίου Λαμπράκη",""
"Αττική-Κηφισιά"," ","23.81257","38.07220","","Κηφισιά Αττικής","Κασσαβέτη",""
"Αττική-Μενίδι","Mini Market","23.73757","38.08999","","Μενίδι Αττικής","",""
"Αττική-Νέο Ψυχικό"," ","23.77466","37.99402","","Νέο Ψυχικό Αττικής","Κατεχάκη","21"
"Αττική-Νίκαια"," ","23.65953","37.97909","","Νίκαια Αττικής","Λεωφόρος Γρηγορίου Λαμπράκη",""
"Αττική-Νίκαια"," ","23.66126","37.97866","","Νίκαια Αττικής","Αρεως",""
"Αττική-Παπάγος","","23.798581","37.992531","","Παπάγος Αττικής","Εικοστής Πέμπτης Μαρτίου και Αναστάσεως",""
"Αττική-Περιστέρι","Περίπτερο","23.681537","38.026413","12137","Περιστέρι Αττικής","Ιωαννίνων","4"
"Αττική-Περιστέρι","Περίπτερο","23.685629","38.021035","","Περιστέρι Αττικής","Αρετής και Αγίου Ιεροθέου",""
"Αττική-Υμηττός","","23.74655","37.95487","","Υμηττός Αττικής","Πλατεία Υμηττού","10"
"Αττική-Χαιδάρι","Περίπτερο ","23.65654","38.01257","","Χαιδάρι Αττικής","Λεωφόρος Αθηνών",""
"Αττική-Χαλάνδρι"," ","23.80879","38.01839","","Χαλάνδρι Αττικής","Αγίας Παρασκευής",""
"Αττική-Χαλάνδρι"," ","23.79454","38.03250","","Χαλάνδρι Αττικής","Λεωφόρος Κηφισίας",""
"Θεσσαλονίκη","","22.95998","40.60092","","Θεσσαλονίκη","25ης Μαρτίου",""
"Θεσσαλονίκη","","22.973722","40.604722","","Θεσσαλονίκη","",""
"Θεσσαλονίκη-Κ.Τούμπα","Αμφιπόλεως","22.976472","40.608056","","Θεσσαλονίκη","Αμφιπόλεως",""
"Θεσσαλονίκη-Κάτω Τούμπα"," ","22.97813","40.60415","","Κάτω Τούμπα Θεσσαλονίκης","Αναξιμένους","2"
"Θεσσαλονίκη-Νεάπολη","","22.94570","40.65140","","Νεάπολη Θεσσαλονίκης","Λεωφόρος Ανδρέα Παπανδρέου",""
